"id";"Hiippakunta";"HPK_koodi";"Kunta";"Kunta_nro";"Rovastikunta";"RVK_koodi";"Seurakunta";"Seurakuntatalous";"SRK_koodi";"SRKT_koodi"
1;"Turku";"H00001";"KAARINA";"202";"Turun tuomiorvk";"R00001";"Piikkiö";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000091";"000839"
2;"Turku";"H00001";"KAARINA";"202";"Turun tuomiorvk";"R00001";"Kaarina";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000587";"000839"
3;"Turku";"H00001";"KAARINA,TURKU";"202.853";"Turun tuomiorvk";"R00001";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000839";"000839"
4;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Paattinen";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000086";"000839"
5;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Tuomiokirkko";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000116";"000839"
6;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Martti";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000117";"000839"
7;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Mikael";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000118";"000839"
8;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Henrik";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000119";"000839"
9;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Katariina";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000120";"000839"
10;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Maaria";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000121";"000839"
11;"Turku";"H00001";"MASKU";"481";"Naantali";"R00002";"Masku";"Masku";"000072";"000072"
12;"Turku";"H00001";"MYNÄMÄKI";"503";"Naantali";"R00002";"Mynämäki";"Mynämäki";"000080";"000080"
13;"Turku";"H00001";"NOUSIAINEN";"538";"Naantali";"R00002";"Nousiainen";"Nousiainen";"000084";"000084"
14;"Turku";"H00001";"RAISIO";"680";"Naantali";"R00002";"Raisio";"Raisio";"000101";"000101"
15;"Turku";"H00001";"RUSKO";"704";"Naantali";"R00002";"Rusko";"Rusko";"000104";"000104"
16;"Turku";"H00001";"NAANTALI";"529";"Naantali";"R00002";"Merimasku";"Naantalin srky";"000075";"004004"
17;"Turku";"H00001";"NAANTALI";"529";"Naantali";"R00002";"Naantali";"Naantalin srky";"000081";"004004"
18;"Turku";"H00001";"NAANTALI";"529";"Naantali";"R00002";"Rymättylä";"Naantalin srky";"000105";"004004"
19;"Turku";"H00001";"NAANTALI";"529";"Naantali";"R00002";"Naantalin srky";"Naantalin srky";"004004";"004004"
20;"Turku";"H00001";"AURA";"19";"Paimio";"R00003";"Aura";"Aura";"000035";"000035"
21;"Turku";"H00001";"LIETO";"423";"Paimio";"R00003";"Lieto";"Lieto";"000066";"000066"
22;"Turku";"H00001";"PAIMIO";"577";"Paimio";"R00003";"Paimio";"Paimio";"000087";"000087"
